Payment Verification Failed	Already paid Customer
Payment Verification Failed	Paid CX Service Request
Payment Verification Failed	Active Partner
Payment Verification Failed	Inactive Partner
Payment Verification Failed	Last Sync more than 15 days
Payment Verification Failed	Last Sync within 15 days
Pending for Activation	Plan Activation Done
Pending for Activation	Already paid Customer
Pending for Activation	Paid CX Service Request
Pending for Activation	Active Partner
Pending for Activation	Inactive Partner
Pending for Activation	Last Sync more than 15 days
Pending for Activation	Last Sync within 15 days
Activation Done	Paid Customer Demo Done
Activation Done	Paid Customer Demo Failed
Activation Done	Paid Customer Demo to be done
Activation Done	Already paid Customer
Activation Done	Paid CX Service Request
Activation Done	Active Partner
Activation Done	Inactive Partner
Activation Done	Last Sync more than 15 days
Activation Done	Last Sync within 15 days
Onboarding Done	Already paid Customer
Onboarding Done	Paid CX Service Request
Onboarding Done	Active Partner
Onboarding Done	Inactive Partner
Onboarding Done	Last Sync more than 15 days
Onboarding Done	Last Sync within 15 days
Upgrade Done	Payment Verified
Upgrade Done	Payment Not Verified
Upgrade Done	Already paid Customer
Upgrade Done	Paid CX Service Request
Upgrade Done	Active Partner
Upgrade Done	Inactive Partner
Upgrade Done	Last Sync more than 15 days
Upgrade Done	Last Sync within 15 days
Renewal Done	Payment Verified
Renewal Done	Payment Not Verified
Renewal Done	Already paid Customer
Renewal Done	Paid CX Service Request
Renewal Done	Active Partner
Renewal Done	Inactive Partner
Renewal Done	Last Sync more than 15 days
Renewal Done	Last Sync within 15 days
Additional Payment Done	Payment Verified
Additional Payment Done	Payment Not Verified
Additional Payment Done	Already paid Customer
Additional Payment Done	Paid CX Service Request
Additional Payment Done	Active Partner
Additional Payment Done	Inactive Partner
Additional Payment Done	Last Sync more than 15 days
Additional Payment Done	Last Sync within 15 days
Referral Done	Payment Verified
Referral Done	Payment Not Verified
Referral Done	Already paid Customer
Referral Done	Paid CX Service Request
Referral Done	Active Partner
Referral Done	Inactive Partner
Referral Done	Last Sync more than 15 days
Referral Done	Last Sync within 15 days
Deviation	PD required
Deviation	Done by Riya || Pending on Kunal
Deviation	UW rejected
Deviation	Amount sanctioned
Deviation	Already paid Customer
Deviation	Paid CX Service Request
Deviation	Active Partner
Deviation	Inactive Partner
Deviation	Last Sync more than 15 days
Deviation	Last Sync within 15 days
Onboarding	Document verified
Onboarding	Document not-verified
Onboarding	Already paid Customer
Onboarding	Paid CX Service Request
Onboarding	Active Partner
Onboarding	Inactive Partner
Onboarding	Last Sync more than 15 days
Onboarding	Last Sync within 15 days
Paid Customer Demo Done	Onboarding Done
Paid Customer Demo Done	Already paid Customer
Paid Customer Demo Done	Paid CX Service Request
Paid Customer Demo Done	Active Partner
Paid Customer Demo Done	Inactive Partner
Paid Customer Demo Done	Last Sync more than 15 days
Paid Customer Demo Done	Last Sync within 15 days
Paid Customer Demo Failed	Paid Customer Demo Done
Paid Customer Demo Failed	Already paid Customer
Paid Customer Demo Failed	Paid CX Service Request
Paid Customer Demo Failed	Active Partner
Paid Customer Demo Failed	Inactive Partner
Paid Customer Demo Failed	Last Sync more than 15 days
Paid Customer Demo Failed	Last Sync within 15 days
Paid Customer Demo to be Done	Paid Customer Demo Done
Paid Customer Demo to be Done	Paid Customer Demo Failed
Paid Customer Demo to be Done	Onboarding Done
Paid Customer Demo to be Done	Already paid Customer
Paid Customer Demo to be Done	Paid CX Service Request
Paid Customer Demo to be Done	Active Partner
Paid Customer Demo to be Done	Inactive Partner
Paid Customer Demo to be Done	Last Sync more than 15 days
Paid Customer Demo to be Done	Last Sync within 15 days
Renewal Due	Could Not connect
Renewal Due	Not Using Tally Busy
Renewal Due	Not satisfied with the services
Renewal Due	Language Barrier
Renewal Due	Discussion Pending
Renewal Due	Demo Scheduled
Renewal Due	Not Interested
Renewal Due	Interested follow up
Renewal Due	Renewal Done
Renewal Due	Upgrade Done
Renewal Due	Renewal Due
Renewal Due	Renewal Not Due
Renewal Due	Interested Proper Syncing
Renewal Due	Syncing Issue
Renewal Due	Pricing Issue
Renewal Due	Support Issue
Renewal Due	Channel - Unapproved Partner Lead
Renewal Due	Already paid Customer
Renewal Due	Paid CX Service Request
Renewal Due	Active Partner
Renewal Due	Inactive Partner
Renewal Due	Last Sync more than 15 days
Renewal Due	Last Sync within 15 days
Renewal Due	Unable to sync (Oracle user)
Renewal Due	Demo Done (Renewal)
Upgrade Due	Disqualified
Upgrade Due	Could Not connect
Upgrade Due	Not Using Tally Busy
Upgrade Due	Not satisfied with the services
Upgrade Due	Language Barrier
Upgrade Due	Discussion Pending
Upgrade Due	Demo Scheduled
Upgrade Due	Not Interested
Upgrade Due	Interested follow up
Upgrade Due	Future lead
Upgrade Due	Renewal Done
Upgrade Due	Upgrade done
Upgrade Due	Upgrade Due
Upgrade Due	Already paid Customer
Upgrade Due	Paid CX Service Request
Upgrade Due	Active Partner
Upgrade Due	Inactive Partner
Upgrade Due	Last Sync more than 15 days
Upgrade Due	Last Sync within 15 days
Restocking Done	Active Partner
Restocking Done	Inactive Partner
Restocking Done	Last Sync more than 15 days
Restocking Done	Last Sync within 15 days
Active Partner	Active Partner
Active Partner	Inactive Partner
Active Partner	Last Sync more than 15 days
Active Partner	Last Sync within 15 days
Payment Link Sent	Could Not Connect
Payment Link Sent	Not Interested (For making Payment)
Payment Link Sent	Payment Done
Payment Link Sent	Future Lead
Payment Link Sent	Already paid Customer
Payment Link Sent	Paid CX Service Request
Payment Link Sent	Active Partner
Payment Link Sent	Inactive Partner
Payment Link Sent	Last Sync more than 15 days
Payment Link Sent	Last Sync within 15 days
Disqualified	Rechurned Disqualified
Disqualified	Qualified Lead
Disqualified	Demo Scheduled
Disqualified	Already paid Customer
Disqualified	Paid CX Service Request
Disqualified	Active Partner
Disqualified	Inactive Partner
Disqualified	Last Sync more than 15 days
Disqualified	Last Sync within 15 days
Invalid	Already paid Customer
Invalid	Paid CX Service Request
Invalid	Active Partner
Invalid	Inactive Partner
Invalid	Last Sync more than 15 days
Invalid	Last Sync within 15 days
Not Interested	Discussion Pending (Answered Calls)
Not Interested	Demo Scheduled
Not Interested	Payment Done
Not Interested	Already paid Customer
Not Interested	Paid CX Service Request
Not Interested	Active Partner
Not Interested	Inactive Partner
Not Interested	Last Sync more than 15 days
Not Interested	Last Sync within 15 days
Future Lead	Qualified Lead
Future Lead	Demo Scheduled
Future Lead	Future Lead
Future Lead	Interested Followup Counselling
Future Lead	Disqualified
Future Lead	Already paid Customer
Future Lead	Paid CX Service Request
Future Lead	Active Partner
Future Lead	Inactive Partner
Future Lead	Last Sync more than 15 days
Future Lead	Not Interested
Future Lead	Last Sync within 15 days
Inactive Partner	Active Partner
Inactive Partner	Inactive Partner
Inactive Partner	Last Sync more than 15 days
Inactive Partner	Last Sync within 15 days
